url,label
naver.com,1
kr.yahoo.com,1
nate.com,1
paran.com,1
cyworld.com,1
korea.com,1
daum.net,1
freechal.com,1
chol.com,1
hanafos.com,1
dreamwiz.com,1
kr.msn.com,1
dcinside.com,1
gamevil.com,1
cyberoro.com,1
nopp.co.kr,1
capogames.net,1
tr.nopp.co.kr,1
itemmania.com,1
pmang.com,1
itembay.com,1
happyoz.com,1
plaync.co.kr,1
gametree.co.kr,1
mgame.com,1
netmarble.net,1
ongamenet.com,1
gamesum.co.kr,1
wemade.com,1
hangame.com,1
windyzone.com,1
muonline.co.kr,1
gametime.co.kr,1
ygosu.com,1
cabal.co.kr,1
goorm.com,1
inven.co.kr,1
nexon.com,1
gamemeca.com,1
d-fighter.com,1
joycity.com,1
com2us.com,1
webgamech.com,1
puppyred.com,1
tygem.com,1
fomos.kr,1
thisisgame.com,1
playforum.net,1
gamespot.co.kr,1
hanbiton.com,1
monawa.com,1
gemmir.com,1
foodmart.co.kr,1
sonyunara.com,1
skinbebe.com,1
sony.co.kr,1
sonystyle.co.kr,1
bookscan.co.kr,1
sroom.co.kr,1
bonagirl.com,1
shoesmoa.co.kr,1
casa.co.kr,1
skybell.co.kr,1
ibookland.com,1
styleby.co.kr,1
iehouse.co.kr,1
style-story.com,1
styleonme.com,1
bell365.com,1
rsdressroom.com,1
ypbooks.co.kr,1
stylehomme.com,1
styleberry.co.kr,1
shinsegae.com,1
puch.co.kr,1
shinsegaepoint.com,1
aura-j.kr,1
emart.co.kr,1
ssunny.co.kr,1
akplaza.com,1
cherrykoko.com,1
wassada.com,1
i-baby.co.kr,1
bboram.co.kr,1
iamyuri.com,1
beyork.com,1
attystory.com,1
cjonmart.net,1
happyromi.co.kr,1
cjmall.com,1
istyle24.com,1
icoda.co.kr,1
gscarnet.com,1
nak21.com,1
gseretail.com,1
sayhi.co.kr,1
gsshop.com,1
funshop.co.kr,1
imory.co.kr,1
aladdin.co.kr,1
akmembers.com,1
mbctshop.com,1
anappletree.com,1
naning9.com,1
andstyle.co.kr,1
otto.kr,1
alice9.com,1
31 Pink hit,1
pinkhit.com,1
sonjabee.com,1
11st.co.kr,1
evajunie.com,1
oneum.co.kr,1
shezgood.com,1
twang.co.kr,1
fashionplus.co.kr,1
ganzinara.com,1
amypark.co.kr,1
feelway.com,1
abcmart.co.kr,1
genzshop.com,1
akmall.com,1
ggsing.com,1
aka.co.kr,1
catsfly.co.kr,1
envylook.com,1
yeoin.com,1
njoyny.com,1
kyobobook.co.kr,1
wizstory.co.kr,1
gumzzi.co.kr,1
waawaa.com,1
stylenanda.com,1
mimididi.co.kr,1
netpoints.co.kr,1
yeoyou.com,1
nseshop.com,1
yubsshop.com,1
laredoute.co.kr,1
yes24.com,1
danawa.com,1
dcx.co.kr,1
danilove.co.kr,1
billywilly.co.kr,1
conablue.com,1
okoutdoor.com,1
dawonmall.com,1
auction.co.kr,1
nanaichi.com,1
ombrestyle.co.kr,1
chongga.com,1
lotteimall.com,1
thedew.co.kr,1
woot.kr,1
idundas.com,1
skdutyfree.com,1
mplusm.co.kr,1
babosarang.co.kr,1
wizwid.com,1
digue.co.kr,1
hauolin.com,1
dnshop.com,1
wizholic.com,1
dhckorea.com,1
mangoribbon.com,1
yoom.co.kr,1
exam.co.kr,1
luxurygirl2.com,1
2001outlet.com,1
luxgirl.com,1
heyo.co.kr,1
lotte.com,1
joyzen.co.kr,1
lottemart.com,1
etoos.com,1
interpark.com,1
lottesuper.co.kr,1
gmarket.co.kr,1
mm.co.kr,1
ribbontie.co.kr,1
player.co.kr,1
libro.co.kr,1
vanillamint.net,1
lioele.com,1
skin79.com,1
marant.kr,1
1300k.com,1
stylebymas.com,1
1200m.com,1
mahoshop.net,1
kantukan.co.kr,1
mutnam.com,1
compuzone.co.kr,1
moazine.com,1
ktmall.com,1
fashionmil.com,1
wingsmal .co.kr,1
minikoya.co.kr,1
occie.com,1
misscandy.co.kr,1
qng.co.kr,1
miamasvin.co.kr,1
10x10.co.kr,1
michyeora.com,1
halfclub.com,1
minzzang.co.kr,1
ogage.co.kr,1
bagazimuri.com,1
boribori.co.kr,1
babomall.com,1
ticketlink.co.kr,1
naingirl.com,1
inavi.co.kr,1
boxncan.com,1
passo.co.kr,1
sibuya.co.kr,1
smallman.co.kr,1
bestgear.co.kr,1
flora2.co.kr,1
bb.co.kr,1
pointpark.com,1
bestanime.co.kr,1
poombuy.com,1
gundamshop.co.kr,1
boom-style.com,1
pighip.co.kr,1
beautynury.com,1
nibbuns.co.kr,1
storm.co.kr,1
brandone.co.kr,1
pinkygirl.co.kr,1
vivaroom.co.kr,1
hadesclub.com,1
vividress.com,1
himart.co.kr,1
assacom.com,1
booknlife.com,1
cultureland.co.kr,1
hahamall.net,1
galleria.co.kr,1
homeplus.co.kr,1
happymoney.co.kr,1
shopgirls.co.kr,1
hmall.com,1
bandinlunis.com,1
hosishop.com,1
sultang.co.kr,1
lottedfs.com,1
shopmcm.com,1
dfsshilla.com,1
snfeel.co.kr,1
e-jade.co.kr,1
m-6.co.kr,1
coryoe.com,1
teachiworld.com,1
tourexpress.com,1
nownewstv.com,1
bing.co.kr,1
isonghak.co.kr,1
ppomppu.co.kr,1
popco.net,1
enppy.com,1
y-star.co.kr,1
eyeclick.co.kr,1
polinews.co.kr,1
saramin.co.kr,1
websam.co.kr,1
sarangbang.com,1
gajai.com,1
soccerline.co.kr,1
godpeople.com,1
eto.co.kr,1
vitacampus.co.kr,1
samsung.co.kr,1
golfsky.com,1
samsunglife.com,1
freesam.com,1
everland.com,1
naeilshot.co.kr,1
sec.co.kr,1
arreo.com,1
edigitalplaza.com,1
mypcis.com,1
samsungmobile.com,1
bugsmusic.co.kr,1
samsungsvc.co.kr,1
clubnex.co.kr,1
samsungcard.co.kr,1
dbpia.co.kr,1
homeplusstory.com,1
myanycar.com,1
img.or.kr,1
samsungfire.com,1
prugio.com,1
samyangfood.co.kr,1
the-mac.co.kr,1
sda.co.kr,1
theamy.co.kr,1
konjiamresort.co.kr,1
bill36524.com,1
seoulland.co.kr,1
ddaily.co.kr,1
smr.seoul.kr,1
ddanzi.com,1
seoul.co.kr,1
amc.seoul.kr,1
jestina.com,1
seoulmilk.com,1
lotteria.com,1
seoulmilk.co.kr,1
am.co.kr,1
seoprise.com,1
mybi.co.kr,1
segye.com,1
design2.co.kr,1
cetizen.com,1
mt.co.kr,1
soribada.com,1
moga.co.kr,1
soriaudio.com,1
modetour.co.kr,1
consumernews.co.kr,1
totorosa.com,1
kkang.co.kr,1
x-y.net,1
picaplay.com,1
shesnara.com,1
bobpul.com,1
scout.co.kr,1
betanews.co.kr,1
skysms.co.kr,1
myvov.com,1
theskinfood.com,1
dipts.com,1
sta1.com,1
visangedu.com,1
stylet.com,1
sportsseoul.com,1
bizmailer.co.kr,1
betman.co.kr,1
druginfo.co.kr,1
speedbank.co.kr,1
daara.co.kr,1
sisaseoul.com,1
wsurvey.net,1
superboard.com,1
clubcity.kr,1
snaps.co.kr,1
sdpro.co.kr,1
sybook.co.kr,1
i-scream.com,1
shinhanlife.co.kr,1
emartmall.com,1
cafe24.com,1
7dayz.co.kr,1
momsdiary.co.kr,1
asadal.com,1
cinus.co.kr,1
tvian.com,1
cine21.com,1
itemmania.kr,1
ciobiz.co.kr,1
itembay.kr,1
siatkids.com,1
thinkpool.com,1
alba.co.kr,1
ezsurvey.co.kr,1
arisu.co.kr,1
hidoc.co.kr,1
innisfree.co.kr,1
bonus365.co.kr,1
new21.com,1
automart.co.kr,1
elle.co.kr,1
autoshop.co.kr,1
asiae.co.kr,1
ndolfin.com,1
flyasiana.com,1
passone.net,1
flyasianaclub.com,1
weatheri.co.kr,1
stoo.asiae.co.kr,1
iptime.co.kr,1
stoo.com,1
etomato.com,1
10.asiae.co.kr,1
etoday.kr,1
asiatoday.co.kr,1
ehome.co.kr,1
outback.co.kr,1
gvalley.co.kr,1
igoodnews.net,1
gojls.com,1
inews24.com,1
iriver.co.kr,1
giordano.co.kr,1
1004disk.com,1
jinair.com,1
ibtimes.co.kr,1
jinhak.co.kr,1
eyesurfer.com,1
i-station.co.kr,1
i-challenge.co.kr,1
spotsale.co.kr,1
ike.co.kr,1
qook.co.kr,1
